perc_in_name,in_component,in_system
0.3333333333333333,0,0
0.6666666666666666,0,1
0.6666666666666666,0,1
0.3333333333333333,0,0
0.6666666666666666,1,0
0.3333333333333333,0,0
0.6666666666666666,0,1
0.3333333333333333,0,0
1.0,1,1
1.0,1,1
0.3333333333333333,0,0
0.3333333333333333,0,0
0.6666666666666666,0,1
0.6666666666666666,0,1
0.6666666666666666,1,0
0.6666666666666666,0,1
0.6666666666666666,0,1
0.3333333333333333,0,0
0.6666666666666666,0,1
0.6666666666666666,1,0
0.6666666666666666,0,1

0.3333333333333333,0,0
0.6666666666666666,1,0
0.6666666666666666,0,1
0.3333333333333333,0,0
0.6666666666666666,1,0
0.6666666666666666,1,0
0.3333333333333333,0,0
0.3333333333333333,0,0
0.3333333333333333,0,0
0.6666666666666666,1,0
0.6666666666666666,0,1
0.3333333333333333,0,0
1.0,1,1
0.3333333333333333,0,0
0.6666666666666666,1,0
0.3333333333333333,0,0
0.6666666666666666,0,1
0.3333333333333333,0,0
0.3333333333333333,0,0

0.5,0,1
0.0,0,0
0.0,0,0
0.25,0,1
0.0,0,0
0.0,0,0
0.0,0,0
0.25,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.5,0,1
0.0,0,0
0.25,0,1
0.0,0,0
0.0,0,0
0.0,0,0
0.5,0,1
0.0,0,0
0.0,0,0
